site,date,eto,vpd_medio,t_media,rh_media
la_esperanza,2022-10-29,4.7,19.5,25.445,40.035
rio_claro,2022-10-29,4.5,20.175,24.716,35.186
la_esperanza,2022-10-30,4.2,15.175,18.17,26.898
rio_claro,2022-10-30,3.7,7.675,13.284,49.985
la_esperanza,2022-10-31,5.3,29.525,26.663,15.78
rio_claro,2022-10-31,4.7,28.212,25.645,15.503
la_esperanza,2022-11-01,5.4,33.225,28.988,17.105
rio_claro,2022-11-01,5.5,37.388,30.068,12.29
la_esperanza,2022-11-02,4.8,22.075,24.708,29.123
rio_claro,2022-11-02,0,22.887,25.305,28.996
la_esperanza,2022-11-03,4.1,14.475,22.04,45.67
rio_claro,2022-11-03,4.7,18.65,24.48,39.151
la_esperanza,2022-11-04,3,4.2,15.067,75.195
rio_claro,2022-11-04,3.7,6.775,17.361,65.628
la_esperanza,2022-11-05,3.6,8.275,17.932,59.688
rio_claro,2022-11-05,3.6,6.875,16.734,64.036
la_esperanza,2022-11-06,4.3,14.3,22.575,47.718
rio_claro,2022-11-06,4.2,13.475,22.364,50.264
la_esperanza,2022-11-07,4.4,15.8,24.567,48.892
rio_claro,2022-11-07,4.3,15.887,24.322,47.695
la_esperanza,2022-11-08,1.4,2.975,14.867,81.803
rio_claro,2022-11-08,3.1,6.125,18.106,70.186
la_esperanza,2022-11-09,1.9,4.75,15.805,73.25
rio_claro,2022-11-09,0,1.65,12.916,88.48
la_esperanza,2022-11-10,3.2,9.625,19.815,58.272
rio_claro,2022-11-10,2.8,6.85,17.066,64.832
la_esperanza,2022-11-11,3.2,10.525,19.553,53.413
rio_claro,2022-11-11,1.7,3.775,14.1,76.13
la_esperanza,2022-11-12,2.2,6.85,17.72,66.005
rio_claro,2022-11-12,0,6.662,15.848,62.64
la_esperanza,2022-11-13,4.5,15.325,21.663,40.688
rio_claro,2022-11-13,4.5,13.75,20.01,40.971
la_esperanza,2022-11-14,4.9,22.625,26.053,32.885
rio_claro,2022-11-14,4.8,15.938,23.072,43.561
la_esperanza,2022-11-15,5.8,31.95,30.355,26.108
rio_claro,2022-11-15,5.1,20.5,26.07,39.218
